"gene.id"	"Mantel_p_12"	"Mantel_p_1"	"q.FDR"	"corrs"
"44"	"Zfp451"	0.657342657342657	0.657342657342657	1	-0.0485236631784055
"45"	"Gm15455"	0.584415584415584	0.584415584415584	1	-0.0656887933540938
"46"	"Ccdc115"	0.245754245754246	0.245754245754246	1	0.0593957814037021
"47"	"Imp4"	0.672327672327672	0.672327672327672	1	-0.0645957412864853
"48"	"Ptpn18"	0.43956043956044	0.43956043956044	1	0.00565982912450749
"49"	"Fam168b"	0.623376623376623	0.623376623376623	1	-0.0373434296719223
"50"	"Plekhb2"	0.603396603396603	0.603396603396603	1	-0.0378498219791045
"51"	"Hs6st1"	0.010989010989011	0.010989010989011	1	0.317544957161047
"52"	"Uggt1"	0.18981018981019	0.18981018981019	1	0.0876468943734296
"53"	"Neurl3"	0.464535464535465	0.464535464535465	1	0.0051477595448684
"54"	"Arid5a"	0.213786213786214	0.213786213786214	1	0.082504015770329
"55"	"Kansl3"	0.714285714285714	0.714285714285714	1	-0.079660302471495
"56"	"Lman2l"	0.856143856143856	0.856143856143856	1	-0.0912843652136069
"57"	"Cnnm4"	0.118881118881119	0.118881118881119	1	0.144995634777661
"58"	"Ankrd23"	0.25974025974026	0.25974025974026	1	0.0636896713509354
"59"	"Ankrd39"	0.578421578421578	0.578421578421578	1	-0.0656887933540938
"60"	"Cox5b"	0.568431568431568	0.568431568431568	1	-0.0305645128516801
"61"	"Actr1b"	0.172827172827173	0.172827172827173	1	0.0883130972604346
"62"	"Zap70"	0.151848151848152	0.151848151848152	1	0.137190754261647
"63"	"Tmem131"	0.893106893106893	0.893106893106893	1	-0.124333977932817
"64"	"Cnga3"	0.691308691308691	0.691308691308691	1	-0.0976612148981218
"65"	"Inpp4a"	0.487512487512487	0.487512487512487	1	-0.00177848883618888
"66"	"Coa5"	0.815184815184815	0.815184815184815	1	-0.100508620666333
"67"	"Unc50"	0.697302697302697	0.697302697302697	1	-0.0594846350130865
"68"	"Mgat4a"	0.031968031968032	0.031968031968032	1	0.241265142163776
"69"	"4930594C11Rik"	0.301698301698302	0.301698301698302	1	0.0420096088920118
"70"	"Tsga10"	0.891108891108891	0.891108891108891	1	-0.115536642616023
"71"	"Mitd1"	0.734265734265734	0.734265734265734	1	-0.077545967123432
"72"	"Mrpl30"	0.502497502497502	0.502497502497502	1	-0.0127133662678561
"73"	"Txndc9"	0.894105894105894	0.894105894105894	1	-0.131748319667729
"74"	"Eif5b"	0.891108891108891	0.891108891108891	1	-0.121298437060519
"75"	"Rev1"	0.698301698301698	0.698301698301698	1	-0.0685182471259315
"76"	"Aff3"	0.788211788211788	0.788211788211788	1	-0.073099671723317
"77"	"Chst10"	0.667332667332667	0.667332667332667	1	-0.0520903490603517
"78"	"Pdcl3"	0.014985014985015	0.014985014985015	1	0.286612188078146
"79"	"Npas2"	0.197802197802198	0.197802197802198	1	0.0754338660681291
